username,repo name,stars,repo URL
sindresorhus,awesome,207000,https://github.com/sindresorhus/awesome
vinta,awesome-python,132000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,92900,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,83000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,71400,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,62200,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,56700,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,52000,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,50100,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,47300,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,45100,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42900,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,41200,https://github.com/Solido/awesome-flutter
MunGell,awesome-for-beginners,41200,https://github.com/MunGell/awesome-for-beginners
prakhar1989,awesome-courses,40800,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,39700,https://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,39100,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,38300,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,35500,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34000,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,32500,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,30800,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,30600,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,30300,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26800,https://github.com/ziadoz/awesome-php
rust-unofficial,awesome-rust,26700,https://github.com/rust-unofficial/awesome-rust
herrbischoff,awesome-macos-command-line,25800,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,24600,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23900,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22900,https://github.com/sindresorhus/awesome-electron
